,article_id,title,pub_date_dt,kword,american_behav_scientists,behav_analysis,behav_change,behav_econ,behav_insight,behav_insights_team,behav_science,behav_scientist,behavioural_economist,behavioural_fatigue,chater,halpern,herd_immunity,michie,nudge,psychologist,psychology,spi-b
559,b2_214.0,Children's mental health will suffer irreparably if schools don't reopen soon;An educational psychologist says missing out on everyday emotional support networks is storing up long-term problemsCoronavirus - latest updatesSee all our coronavirus coverage,2020-06-20,"['psychology', 'psychology', 'psychology', 'psychology', 'psychology', 'psychology', 'psychologist', 'spi-b']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
560,b2_215.0,Commuters are 'not using masks properly',2020-06-22,"['michie', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
561,b2_216.0,"Coronavirus: easing several lockdown rules at once could boost virus, say UK scientists;Sage advisers warn of risks of halving 2-metre rule while reopening venues in England Coronavirus - latest updatesSee all our coronavirus coverage",2020-06-23,"['michie', 'psychologist', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
562,b2_217.0,Face the facts about danger of failing to use masks correctly,2020-06-22,"['michie', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
563,b2_218.0,"People using public transport not wearing masks properly, warns top scientist",2020-06-21,"['michie', 'michie', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
564,b2_219.0,"Sir Patrick Vallance warns new coronavirus cases could start to rise again because R rate is 'potentially quite close to one', as Britain today announced 351 more deaths taking official number of victims to 36,393",2020-05-22,"['behav_insight', 'behav_insight']",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
565,b2_221.0,"Public put at risk by the spread of confusion;With Holyrood and Westminster split over lockdown, it's hard to know who we should listen to",2020-05-10,['behav_scientist'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
566,b2_222.0,Job ad cuts macho words to flush out female recruits,2020-06-23,['behav_insight'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
567,b2_223.0,"Britons must continue to follow two-metre social distancing rules, experts tell Government scientific advisers amid fears dropping to one metre could carry up to 10 times the risk",2020-06-12,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
568,b2_224.0,How coronavirus social 'bubbles' starting today will work -as SAGE concerns emerge;Some couples living in different homes will be able to visit and stay with each other for the first time in months from today as part of the Covid-19 social 'bubbles' plan,2020-06-13,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
569,b2_225.0,"NHS bosses fear 'backstage' behaviour of doctors and nurses is fuelling spread of virus;Healthcare Almost three months after start of lockdown, hospitals told to ensure medics follow social distancing rules",2020-06-13,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
570,b2_226.0,Covid hotels plea to stop flouting of isolation rules,2020-06-10,"['psychology', 'michie', 'behav_change', 'michie']",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
571,b2_227.0,"Risk to children's health from coronavirus 'minuscule', says government adviser;Impact of missing school '100 per cent worse' than disease, says Dr Gavin Morgan",2020-06-06,"['psychology', 'spi-b']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
572,b2_228.0,Uncertainty over 2-metre distancing rule in England 'causing chaos';Millions spent on signage will have been wasted as shops and councils prepare for lockdown easingCoronavirus - latest updatesSee all our coronavirus coverage,2020-06-11,"['michie', 'behav_change', 'michie']",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
573,b2_229.0,Independent SAGE' group says UK's Test and Trace scheme is 'not fit for purpose' and urges ministers to overhaul system that will 'help not hinder' country's recovery,2020-06-09,"['michie', 'psychologist', 'michie', 'behav_change']",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
574,b2_23,"The SAGE files: Local lockdowns may prompt attacks on the police, hairdressers could be Covid-19 hotspots and strict social distancing measures cannot go away until the coronavirus can be wiped out",2020-05-29,"['psychologist', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'behav_science', 'spi-b', 'spi-b', 'spi-b']",0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3
575,b2_230.0,"No 10 must regain public's trust to avoid second wave, scientists warn;Repairing damage 'central' to ensuring people follow UK self-isolation rules, say Sage expertsCoronavirus - latest updatesSee all our coronavirus coverage",2020-06-09,"['michie', 'psychologist', 'michie', 'michie', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
576,b2_232.0,"WAVE GOODBYE No evidence to suggest coronavirus 'second wave' is coming, virologist says",2020-06-02,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
577,b2_233.0,"Brits facing 'dangerous moment' as lockdown eases with thousands still breaking rules;Professor Jonathan Van-Tam, the deputy chief medical officer, has called for people to obey the new coronavirus restrictions, which allow people to meet in groups of six",2020-05-31,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
578,b2_234.0,Dominic Cummings row: senior health official says lockdown rules 'apply to all';England's deputy chief medical officer says country is at 'very dangerous moment' as restrictions easeCoronavirus - latest updatesSee all our coronavirus coverage,2020-05-30,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
579,b2_235.0,MASK OF CORO How to make a face mask at home,2020-06-04,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
580,b2_236.0,"UK experts call for coronavirus inquiry to prevent deadly second wave;Many more will die unless we fix structural problems that have blighted Britain's response, say scientistsCoronavirus - latest updatesSee all our coronavirus coverage",2020-06-05,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
